num,code,url,status_code,launch_date,year,month,launch_vehicle,launch_site,
556,2023-004Z,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-004Z,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
557,2023004AA,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AA,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
558,2023004AB,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AB,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
559,2023004AC,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AC,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
560,2023004AD,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AD,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
561,2023004AE,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AE,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
562,2023004AF,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AF,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
563,2023004AG,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AG,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
564,2023043AC,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AC,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
565,2023004AH,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023004AH,200,2023-01-10,2023,1,Falcon 9 Full Thrust,Cape Canaveral, United States
566,2023043AD,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AD,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
567,2023043AE,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AE,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
568,2023043AF,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AF,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
569,2023043AG,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AG,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
570,2023043AH,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AH,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
571,2023043AJ,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023043AJ,200,2023-03-26,2023,3,Soyuz ST-B/Fregat M,Sriharikota, Indian
572,2023-029G,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029G,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
573,2023-029H,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029H,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
574,2023-029J,https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2023-029J,200,2023-03-09,2023,3,Falcon 9 Full Thrust,Cape Canaveral, United States
