num;code;url;status_code;launch_date;launch_vehicle;launch_site;
64;2019-074D;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074D;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
65;2019-074E;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074E;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
66;2019-074F;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074F;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
67;2019-074G;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074G;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
68;2019-074H;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074H;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
69;2019-074J;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074J;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
70;2019-074K;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074K;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
71;2019-074L;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074L;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
72;2019-074M;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074M;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
73;2019-074N;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074N;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
74;2019-074P;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074P;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
75;2019-074Q;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074Q;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
76;2019-074R;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074R;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
77;2019-074S;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074S;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
78;2019-074T;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074T;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
79;2019-074U;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074U;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
80;2019-074V;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074V;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
81;2019-074W;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074W;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
82;2019-074X;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074X;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
83;2019-074Y;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074Y;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
84;2019-074Z;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019-074Z;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
85;2019074AA;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AA;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
86;2019074AB;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AB;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
87;2019074AC;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AC;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
88;2019074AD;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AD;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
89;2019074AE;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AE;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
90;2019074AF;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AF;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
91;2019074AG;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AG;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
92;2019074AH;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AH;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
93;2019074AJ;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AJ;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
94;2019074AK;https://nssdc.gsfc.nasa.gov/nmc/spacecraft/display.action?id=2019074AK;200;2019-11-11;Falcon 9 Full Thrust;Cape Canaveral, United States<br/><;
